1 Text, 2 Text
"Who invented the operational level of war?","Soviet theorists in the 1920s. Alexander Svechin defined it theoretically."
"Who was Alexander Svechin (1878-1938)?","Soviet theorist who created the theoretical distinction of operational art. Advocated strategy of attrition."
"Who was Mikhail Tukhachevsky (1893-1937)?","Chief architect of Deep Operations (glubokaya operatsiya). Combined arms integration champion. Advocated strategy of destruction."
"What is Deep Operations (glubokaya operatsiya)?","Simultaneous strikes throughout the depth of enemy defenses. Soviet concept, mechanized warfare."
"Svechin vs Tukhachevsky debate?","Svechin: attrition strategy (wear enemy down). Tukhachevsky: destruction strategy (annihilate enemy forces quickly). Both were purged by Stalin."
"When did the U.S. adopt the operational level?","1982, in FM 100-5 (AirLand Battle doctrine). Borrowed from 1920s Soviet theory."
"What is Shimon Naveh's key book?","'In Pursuit of Military Excellence' - traces how operational art evolved from Soviet origins."
"Define operational art.","The totality of maneuvers and battles directed toward achieving a common objective. Links tactics to strategy."
"What is Robert Citino's key book?","'Blitzkrieg to Desert Storm' - traces the German way of war to American adaptation."
"What did AirLand Battle doctrine emphasize?","Deep battle, initiative at low levels, synchronized joint operations. U.S. adoption of operational art."
