1 Text, 2 Text
"What are the 7 steps of MDMP?","Receive Mission, Mission Analysis, COA Development, COA Analysis (Wargaming), COA Comparison, COA Approval, Orders Production. Mnemonic: MADACAP."
"Which MDMP step is 'THE FOUNDATION'?","Step 2: Mission Analysis. Produces problem statement, mission statement, commander's intent."
"What is COA?","Course of Action. A possible way to accomplish the mission. Develop 2-3 options."
"What are Branches and Sequels?","Branches: contingency plans for anticipated deviations. Sequels: subsequent operations based on possible outcomes."
"What is Operational Reach?","Distance over which military power can be employed. Outrunning logistics means exceeding operational reach."
"What is ATP 5-0.1?","Army Design Methodology. Conceptual planning approach."
"What does an Operations Overlay contain?","Scheme of maneuver, control measures (boundaries, phase lines, objectives), and unit positions."
"What is Termination Criteria?","Conditions that must exist for operations to end. Defined at the strategic level."
"Direct vs Indirect Approach?","Direct: attack enemy strength. Indirect: avoid strength, attack weakness. Liddell Hart advocated indirect."
"What does JP 5-0 Chapters III-IV cover?","Joint planning process. The 'how' of campaign design."
