1 Text, 2 Text
"128-bit security: RSA key size?","3072 bits."
"128-bit security: ECC key size?","256 bits. 12x smaller than RSA."
"Elliptic curve equation?","y² = x³ + ax + b (mod p)."
"What is the ECDLP?","Given P and Q = nP, find n."
"P-256 field size?","256 bits. NIST standard."
"Curve25519 field size?","255 bits."
"Who designed Curve25519?","Daniel Bernstein."
"Why Curve25519 preferred?","Constant-time, rigid design, simple to implement securely."
"What is secp256k1?","Bitcoin's curve. 256-bit. Not recommended for new systems."
"What is X25519?","ECDH using Curve25519."
"What is a twist attack?","Attack using points on related curve. Why input validation matters."
"What is Dual_EC_DRBG?","NSA-backdoored RNG. 'Nothing up my sleeve' number had something."
"What does safecurves.cr.yp.to evaluate?","Which elliptic curves are safe to use and why."
