1 Text, 2 Text
"Five components of a military symbol?","Frame (shape), Fill (color), Icon (entity type), Modifiers (capability), Amplifiers (text/graphic)."
"Friendly ground unit frame shape?","Rectangle. Blue fill."
"Hostile ground unit frame shape?","Diamond. Red fill."
"Neutral ground unit frame shape?","Square. Green fill."
"Unknown ground unit frame shape?","Quatrefoil (cloverleaf). Yellow fill."
"Solid vs dashed frame meaning?","Solid = present. Dashed = planned/anticipated/suspected."
"What is SIDC?","Symbol Identification Code. 20-digit code defining any military symbol."
"Infantry icon?","Crossed diagonals (saltire/X)."
"Armor icon?","Tracked vehicle silhouette (oval with track)."
"Artillery icon?","Filled circle (dot)."
"Engineer icon?","Castle outline."
"Signal icon?","Lightning bolt."
"Medical icon?","Cross."
"Echelon marker: Company?","I (one vertical line above frame)."
"Echelon marker: Battalion?","II (two vertical lines)."
"Echelon marker: Brigade?","X (one X above frame)."
"Echelon marker: Division?","XX (two X's)."
"Echelon marker: Corps?","XXX (three X's)."
"Echelon marker: Squad?","• (one dot)."
"Echelon marker: Platoon?","••• (three dots)."
"What is CFL?","Coordinated Fire Line. Permissive FSCM expediting fires beyond line."
"What is FSCL?","Fire Support Coordination Line. Permissive, established by Corps+."
"What is NFA?","No Fire Area. Restrictive FSCM prohibiting fires in area."
"What is RFL?","Restrictive Fire Line. Prohibits fires across line (linkup ops)."
"Phase line naming convention?","Single words: colors, names, objects. Placed on recognizable terrain."
