1 Text, 2 Text
"What is a bridge hack?","Exploiting cross-chain asset transfer. Ronin: $625M."
"Ronin bridge hack cause?","5/9 multisig compromised. Social engineering."
"Wormhole hack amount?","$320M (2022). Signature verification bypass."
"What is a signature malleability attack?","Modify signature without invalidating. Drain funds."
"What is a private key extraction attack?","Side-channel or fault injection on hardware wallet."
"Cold wallet vs hot wallet?","Offline vs online key storage. Security vs convenience."
"What is a dusting attack?","Send tiny amounts to track addresses."
"What is address poisoning?","Send from similar-looking address. Trick copy-paste."
"What is a rug pull?","Developers drain liquidity. Exit scam."
"What is a honeypot contract?","Looks profitable but prevents withdrawal."
"What is infinite approval risk?","Approving unlimited token spend. Can be drained later."
"What is ERC-4337?","Account abstraction. Smart contract wallets as first-class."
"What is social recovery?","Trusted parties can recover wallet. No seed phrase."
"What is MPC wallet?","Multi-Party Computation. Key never assembled."
