1 Text, 2 Text
"What is the standard tactical map scale?","1:50,000. 1cm = 500m ground distance."
"What are the five standard military map colors?","Black (cultural), Blue (water), Green (vegetation), Brown (relief/contours), Red (major roads/built-up)."
"What is MGRS?","Military Grid Reference System. Standard military coordinate format."
"MGRS precision: 4 digits?","1km accuracy."
"MGRS precision: 6 digits?","100m accuracy."
"MGRS precision: 8 digits?","10m accuracy. Standard for tactical use."
"MGRS precision: 10 digits?","1m accuracy."
"Critical MGRS rule: round or truncate?","Always truncate, never round. Coordinates reference SW corner of designated square."
"What is OAKOC?","Observation/fields of fire, Avenues of approach, Key terrain, Obstacles, Cover and concealment. Terrain analysis framework."
"Cover vs Concealment?","Cover protects from fire effects. Concealment only protects from observation."
"What are the three obstacle mobility classifications?","Unrestricted, Restricted, Severely Restricted."
"Four obstacle effects?","Block, Turn, Fix, Disrupt."
"What is a MCOO?","Modified Combined Obstacle Overlay. Division/brigade-level terrain analysis product."
"Required overlay marginal information (7 items)?","Classification (top/bottom), Title, DTG, Map reference (sheet/number/series/scale), Author, Legend for non-standard symbols."
"Overlay color: friendly graphics?","Black (or single line in monochrome)."
"Overlay color: enemy graphics?","Red (or double line in monochrome)."
"Overlay color: obstacles?","Green."
