1 Text, 2 Text
"What is the 'Thucydides Trap'?","When a rising power threatens to displace a ruling one, war becomes highly likely. Coined from Thucydides' 'truest cause' of the Peloponnesian War."
"Thucydides' 'truest cause' of the Peloponnesian War?","'The growth of Athenian power and the fear this caused in Sparta.' Book I."
"What three motivations drive states according to Thucydides?","Fear, honor, and interest."
"What is the Melian Dialogue?","Book V. Athens demands Melos surrender. Famous line: 'The strong do what they can; the weak suffer what they must.' Realpolitik."
"What did the Melians argue?","That justice and the gods would protect them as neutrals. Athens rejected this—they were killed/enslaved."
"What is Pericles' Funeral Oration about?","Book II. What democracies fight to preserve. Athenian values and civic virtue."
"What is the Mytilenean Debate?","Book III. Should Athens massacre the rebels of Mytilene? Debates mercy vs. justice, proportionality, deterrence."
"What was the Sicilian Expedition?","Books VI-VII. Athens' disastrous invasion of Sicily. Strategic overreach, hubris, catastrophic failure."
"What lesson does the Sicilian Expedition teach?","Imperial overstretch destroys even great powers. Don't let ambition exceed capability."
"Which translation of Thucydides is standard?","Strassler's 'Landmark Thucydides.' Contains maps and annotations."
"Who wrote 'On the Origins of War' with chapter on Peloponnesian War?","Donald Kagan."
