1 Text, 2 Text
"What is FM 3-24?","Counterinsurgency. The Petraeus/Mattis manual (2006)."
"Who wrote 'Counterinsurgency Warfare: Theory and Practice'?","David Galula. French officer, foundational COIN text."
"What is population-centric vs enemy-centric COIN?","Population-centric: win hearts and minds, protect civilians. Enemy-centric: kill insurgents. Vietnam debated this."
"What does Korea teach about limited war?","Political constraints on military operations. Escalation management. Coalition warfare under UN command."
"What was the MacArthur-Truman crisis?","MacArthur publicly advocated expanding Korean War to China. Truman fired him. Civil-military norms violation."
"What Desert Storm (1991) lesson applies today?","Maneuver warfare executed successfully. Center of gravity identified. But: ambiguous end state as cautionary tale."
"How many nations were in the Desert Storm coalition?","35 nations. Coalition management at scale."
"What does 'shaping operations' mean?","Actions that create conditions for decisive operations. In Desert Storm: air campaign before ground offensive."
"Post-9/11 transition failures?","Iraq 2003-2006, Afghanistan 2001-2021. Tactical success without strategic clarity. Echoes Vietnam."
"Quote about Vietnam and decision-makers?","'Those who ordered the meal were not there when the waiter brought the check.'"
