1 Text, 2 Text
"What is Russian 'Active Defense'?","Defense through offense. Counterattack is essential to defensive operations."
"What is the Reconnaissance-Fire Complex?","Russian concept: tight integration of sensors and shooters for rapid targeting."
"What is 'Non-Contact Warfare'?","Russian concept prioritizing aerospace/precision strikes over ground offensive."
"Who wrote 'The Value of Science is in Foresight' (2013)?","General Valery Gerasimov. Often misread as 'hybrid warfare doctrine.'"
"What is Chinese Active Defense (积极防御)?","Strategic defense, operational offense. Defend strategically while attacking operationally."
"What is Systems Confrontation (体系对抗)?","Chinese concept: attack the adversary's operational system, not just forces."
"What is 'Informatization'?","Chinese concept: information dominance as prerequisite for campaign success."
"Who wrote 'Unrestricted Warfare'?","Qiao Liang and Wang Xiangsui (1999). PLA colonels on asymmetric warfare."
"Who wrote 'Active Defense' (the book)?","M. Taylor Fravel. Traces Chinese military strategy evolution."
"U.S. vs Russia vs China on offense/defense?","U.S.: offense preferred. Russia: defense through offense. China: strategic defense, operational offense."
"U.S. vs Russia vs China on integration?","U.S.: military-centric. Russia: all state instruments. China: holistic civil-military fusion."
