1 Text, 2 Text
"Name the 9 Principles of War.","Objective, Offensive, Mass, Economy of Force, Maneuver, Unity of Command, Security, Surprise, Simplicity."
"Principle: Objective","Direct every operation toward a clearly defined, decisive, and attainable objective."
"Principle: Offensive","Seize, retain, and exploit the initiative."
"Principle: Mass","Concentrate combat power at the decisive place and time."
"Principle: Economy of Force","Allocate minimum essential combat power to secondary efforts."
"Principle: Maneuver","Place the enemy in a disadvantageous position through flexible application of combat power."
"Principle: Unity of Command","One responsible commander for every objective."
"Principle: Security","Never permit the enemy to acquire unexpected advantage."
"Principle: Surprise","Strike at a time, place, or manner for which the enemy is unprepared."
"Principle: Simplicity","Prepare clear, uncomplicated plans and orders."
"Name the 6 Warfighting Functions.","Movement & Maneuver, Intelligence, Fires, Sustainment, Mission Command, Protection."
"What is MCDP 1?","Warfighting. Marine Corps doctrine; clearest articulation of maneuver warfare philosophy. 75 pages."
"What is FM 3-0?","Operations. Army principles and definitions."
"What is maneuver warfare philosophy?","Attack enemy cohesion and will rather than destroying forces through attrition. Exploit weakness, avoid strength."
