1 Text, 2 Text
"What is METT-TC?","Mission, Enemy, Terrain, Troops, Time, Civil considerations. Universal analysis framework at all echelons."
"What is an End State?","Conditions that define when mission is accomplished. Everything works backward from here."
"What is Center of Gravity?","Source of power that provides strength, freedom of action, and will to fight. Clausewitzian concept central to operational planning."
"What is a Decisive Point?","Key terrain or moment whose control provides marked advantage. Links tactical action to operational goals."
"What are Lines of Operation vs Lines of Effort?","Lines of Operation: directional, physical linkage to objectives. Lines of Effort: logical linkage for non-geographic operations (stability, IO)."
"What document is JP 5-0?","Joint Planning. The keystone planning document for all joint operations."
"What document is ADP 3-0?","Operations. Current Army doctrine defining the levels of war."
"What document is FM 6-0?","Mission Command. The philosophy underlying modern Western military operations."
"What are the three levels of war?","Tactical (battles), Operational (campaigns), Strategic (achieving political objectives). The operational level only entered Western doctrine in 1982."
"When did the U.S. adopt the operational level of war?","1982, in FM 100-5 (AirLand Battle). Prior American doctrine only had 'tactics' and 'strategy'."
"Why does pre-WWII military text seem to conflate tactics and strategy?","Because the operational level as a concept didn't exist in Western doctrine. It was borrowed from 1920s Soviet theory."
