1 Text, 2 Text
"What is SMEAC?","Five-paragraph order format: Situation, Mission, Execution, Admin/Logistics (Sustainment), Command & Signal."
"SMEAC Paragraph 1: Situation contains?","Enemy, friendly forces, attachments/detachments, civil considerations. Provides context."
"SMEAC Paragraph 2: Mission contains?","Who, What, When, Where, Why. States the objective."
"SMEAC Paragraph 3: Execution contains?","Commander's intent, concept of operations, tasks, coordinating instructions. The plan."
"SMEAC Paragraph 4: Sustainment contains?","Logistics, personnel, medical support. How the operation is supplied."
"SMEAC Paragraph 5: Command & Signal contains?","Command relationships, succession, communications plan. Control."
"What are the three parts of Commander's Intent?","Purpose (the expanded 'why'), Method (key tasks), End State (conditions defining success)."
"How far down must Commander's Intent be clear?","Two echelons down. A battalion commander's intent must make sense to squad leaders."
"What is the test for good Commander's Intent?","Could a subordinate act within it when communications fail?"
"What is an OPORD?","Operations Order. The five-paragraph format for directing operations."
"What is CCIR?","Commander's Critical Information Requirements. Information the commander needs to make decisions."
"What is Mission Command?","Empowering subordinate decision-making within the commander's intent. Trust-based, decentralized execution."
