1 Text, 2 Text
"What order should you read Clausewitz's On War?","Book VIII first (War Plans), then Book I Chapter 1 (What is War?), then Book I Chapters 3 and 7. This is National War College pedagogy."
"What is Clausewitz's Trinity?","Violence/passion (the people), chance/probability (the military), reason/policy (the government). War must balance all three."
"What is 'Absolute War' vs 'Real War'?","Absolute: pure theoretical concept of unlimited violence. Real: actual war, always modified by politics and friction. War is never autonomous."
"Complete: 'War is the continuation of ___'","'...policy by other means.' War always serves political purpose."
"What is Clausewitz's 'friction'?","'The force that makes the apparently easy so difficult.' Explains why simple plans fail. Grounds all planning in humility."
"What is Clausewitz's 'fog of war'?","Uncertainty pervading all information in war. Commanders must act on incomplete, often wrong information."
"What is the culminating point?","Moment when offensive power no longer exceeds defense. Attacker must either achieve objectives or go on defense."
"Who translated the standard English edition of On War?","Michael Howard and Peter Paret. Bernard Brodie wrote the commentary."
"What is 'war as a duel writ large'?","Clausewitz's metaphor: war is a contest of wills, each trying to impose their will on the other through force."
"Why did Clausewitz emphasize 'military genius'?","War requires intuitive judgment under uncertainty. Cannot be reduced to rules. Genius navigates fog and friction."
"What pages of On War contain the Trinity and 'continuation of policy'?","Book I, Chapter 1, pages 75-89 in Howard/Paret."
