1 Text, 2 Text
"What is UTXO?","Unspent Transaction Output. Bitcoin's accounting model."
"UTXO vs Account model?","UTXO: transaction-based. Account: balance-based (Ethereum)."
"Bitcoin Script: Turing complete?","No. No loops. Intentionally limited."
"What is P2PKH?","Pay to Public Key Hash. Standard Bitcoin address type."
"What is P2SH?","Pay to Script Hash. Enables complex scripts."
"What is SegWit?","Segregated Witness. Separates signatures from transaction."
"SegWit benefit?","Fixes transaction malleability. Increases block capacity."
"What is Taproot?","Bitcoin upgrade (2021). Schnorr signatures, MAST."
"Schnorr vs ECDSA advantage?","Linear. Enables signature aggregation."
"What is a timelock?","UTXO locked until block height or timestamp."
"What is HTLC?","Hash Time-Locked Contract. Enables atomic swaps."
"Lightning Network uses what crypto?","HTLCs, multi-sig, timelocks."
"What is transaction malleability?","Signature can be modified without invalidating. Pre-SegWit issue."
"Bitcoin max supply enforced how?","Consensus rules. Halving every 210,000 blocks."
