1 Text, 2 Text
"Sun Tzu's Five Fundamental Factors (Chapter 1)?","Tao (moral law), Heaven (weather/time), Earth (terrain), Commander (leadership), Method (organization)."
"Complete: 'Supreme excellence is ___'","'...subduing the enemy without fighting.' Sun Tzu, Chapter 3."
"What is Qi vs Zheng?","Qi = indirect/extraordinary methods. Zheng = direct/orthodox methods. Victory comes from their combination."
"What is 'Death Ground'?","Terrain where an army must fight or perish. Soldiers fight hardest when there's no retreat. Sun Tzu Chapter 11."
"Sun Tzu on violence vs Clausewitz?","Sun Tzu: violence is last resort, marks strategic failure. Clausewitz: violence is central to war's nature."
"Sun Tzu on battle vs Clausewitz?","Sun Tzu: battle should be avoided when possible. Clausewitz: battle is necessary."
"Sun Tzu's goal vs Clausewitz's goal?","Sun Tzu: subdue enemy's strategy. Clausewitz: destroy enemy's armed forces."
"Sun Tzu on deception vs Clausewitz?","Sun Tzu: deception is central. Clausewitz: deception plays minor role."
"Which translation of Art of War is standard for PME?","Griffith translation. B.H. Liddell Hart wrote the foreword."
"What are the most important chapters of Art of War?","1 (Laying Plans), 3 (Attack by Stratagem), 5 (Energy), 6 (Weak Points), 11 (Nine Grounds)."
"Which 'Seven Military Classics' is most important?","Sun Tzu's Art of War. Ralph Sawyer translated the collection."
