1 Text, 2 Text
"What did FM 100-5 call the Vicksburg Campaign?","'The most brilliant campaign ever fought on American soil.'"
"How many approaches did Grant try before taking Vicksburg?","7+ failed approaches before the successful campaign. Demonstrates persistence and adaptation."
"What was the strategic effect of capturing Vicksburg?","Split the Confederacy. Cut off Texas, Arkansas, and most of Louisiana."
"Who was Grant's Navy counterpart at Vicksburg?","Admiral David Porter. Joint Army-Navy coordination was essential."
"Lincoln on Grant after Vicksburg?","'Grant is my man, and I am his for the rest of the war.' Model of civil-military trust."
"What are the three phases of a Staff Ride?","Preliminary Study (research), Field Study (terrain analysis), Integration (connect to current challenges)."
"What is ODA in Staff Ride methodology?","Orientation (location/terrain), Description (chronological narrative), Analysis (how, why, 'so what?')."
"Contrast Lincoln-Grant vs MacArthur-Truman.","Lincoln-Grant: clear objectives, mutual trust, operational latitude. MacArthur-Truman: violation of civil-military norms, public disagreement, fired."
"When was Vicksburg captured?","July 4, 1863. Same day as Gettysburg ended."
"Why is Grant's Personal Memoirs assigned reading?","Provides commander's perspective on operational decision-making. Written by the general himself."
