1 Text, 2 Text
"Why is WWII the 'strategic laboratory' for PME?","Last peer-to-peer industrial conflict. Testing ground for operational concepts still studied. Origin of modern joint/combined arms warfare."
"What is Blitzkrieg?","German combined-arms warfare emphasizing speed, shock, and encirclement. Emerged from Prussian tradition. Not an official doctrine."
"Who wrote 'The German Way of War'?","Robert Citino. Traces Blitzkrieg to Prussian operational tradition."
"Who wrote 'When Titans Clashed'?","David Glantz. Soviet operational art in practice on the Eastern Front."
"What does Operation Barbarossa (1941) teach?","Deep operations in practice. Also: culmination—German offensive outran logistics and culminated before Moscow."
"What does Stalingrad (1942-43) teach?","Urban warfare. Operational encirclement (Operation Uranus trapped 6th Army)."
"What does D-Day/Normandy teach?","Joint/combined operations. Deception (Operation Fortitude). Amphibious doctrine."
"What does Battle of the Bulge teach?","Surprise is always possible. Importance of strategic reserve."
"What does Midway (1942) teach?","Intelligence advantage. Calculated operational risk."
"What is 'island-hopping'?","Pacific strategy: bypass strong points, seize key islands. Operational sequencing and culmination management."
"How did Pacific vs European warfare differ?","Pacific: expeditionary, naval-centric, vast distances. Europe: continental, land-centric, dense terrain."
