1 Text, 2 Text
"Three properties of digital signatures?","Authentication, integrity, non-repudiation."
"RSA-PSS signature size?","256-512 bytes."
"ECDSA P-256 signature size?","64 bytes."
"Ed25519 signature size?","64 bytes."
"Why hash-then-sign?","Faster (fixed-size input). Prevents certain attacks."
"X.509 certificate contains what?","Subject, Issuer, Public Key, Validity Period, Extensions, Signature."
"Certificate validation step 1?","Check signature chain to trusted root."
"Certificate validation step 2?","Verify each cert is within validity period."
"Certificate validation step 3?","Check revocation status (CRL or OCSP)."
"Certificate validation step 4?","Verify subject matches expected identity."
"What was DigiNotar (2011)?","Compromised CA. Issued fraudulent certs for any domain."
"What is Certificate Transparency?","Public log of all issued certs. Detects CA misbehavior."
"What is FIPS 186-5?","Digital Signature Standard. RSA, DSA, ECDSA specs."
